epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,7807.56,1.05572,0.59655,1.06952,0.8636,0.90451,0.91528,0.54528,1.50522,0.71149,1.38315,0.000218,0.000218,0.000218
182,7849.75,1.03195,0.5923,1.06843,0.85827,0.88435,0.90646,0.54071,1.5149,0.70324,1.39623,0.0002081,0.0002081,0.0002081
183,7891.94,1.01023,0.58158,1.03968,0.87823,0.89116,0.92088,0.55278,1.48212,0.68914,1.36325,0.0001982,0.0001982,0.0001982
184,7937.22,1.0286,0.58927,1.06323,0.85966,0.87755,0.9091,0.54123,1.48913,0.6972,1.36762,0.0001883,0.0001883,0.0001883
185,7980.95,0.99363,0.58044,1.0456,0.87438,0.89968,0.916,0.54475,1.49181,0.71522,1.36999,0.0001784,0.0001784,0.0001784
186,8024.62,1.01969,0.58542,1.06001,0.8603,0.87979,0.90932,0.53678,1.51423,0.69799,1.38215,0.0001685,0.0001685,0.0001685
187,8068.31,0.97076,0.56707,1.03555,0.87437,0.89796,0.91967,0.5481,1.50218,0.69458,1.38296,0.0001586,0.0001586,0.0001586
188,8114.92,1.01409,0.56413,1.0547,0.83691,0.89796,0.91529,0.55162,1.48851,0.70038,1.37833,0.0001487,0.0001487,0.0001487
189,8159.31,1.00994,0.56789,1.06281,0.84639,0.89796,0.91837,0.54735,1.49608,0.69001,1.38646,0.0001388,0.0001388,0.0001388
190,8203.28,0.98117,0.5627,1.04298,0.85397,0.87075,0.90907,0.5419,1.48556,0.69943,1.38569,0.0001289,0.0001289,0.0001289
191,8246.36,1.02019,0.56846,1.06604,0.87266,0.89116,0.914,0.54314,1.50075,0.68972,1.41732,0.000119,0.000119,0.000119
192,8291.23,0.96581,0.53037,1.04893,0.88226,0.89116,0.91506,0.53584,1.51542,0.68324,1.40453,0.0001091,0.0001091,0.0001091
193,8333.86,0.94861,0.52892,1.01937,0.87427,0.89878,0.91789,0.53273,1.51482,0.69518,1.39749,9.92e-05,9.92e-05,9.92e-05
194,8374.96,0.98592,0.53854,1.04279,0.88054,0.90255,0.91881,0.53465,1.50103,0.69458,1.38739,8.93e-05,8.93e-05,8.93e-05
195,8417.61,0.97597,0.54714,1.02092,0.8879,0.89116,0.9237,0.54372,1.49211,0.68644,1.38507,7.94e-05,7.94e-05,7.94e-05
196,8463.81,0.97078,0.53723,1.02538,0.87299,0.91156,0.9246,0.54487,1.48978,0.68918,1.38093,6.95e-05,6.95e-05,6.95e-05
197,8505.22,0.96379,0.53265,1.02766,0.88034,0.90091,0.92218,0.5393,1.4922,0.69131,1.38312,5.96e-05,5.96e-05,5.96e-05
198,8546.31,0.9515,0.51883,1.02869,0.88173,0.91287,0.9234,0.5428,1.48814,0.6953,1.3827,4.97e-05,4.97e-05,4.97e-05
199,8591.08,0.96386,0.52687,1.02542,0.87622,0.91495,0.92382,0.54098,1.48968,0.6967,1.38284,3.98e-05,3.98e-05,3.98e-05
200,8644.11,0.94279,0.52348,1.03749,0.86634,0.90476,0.91902,0.53979,1.49076,0.6938,1.38603,2.99e-05,2.99e-05,2.99e-05
