epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1864.08,1.54883,1.09558,1.35694,0.49953,0.57823,0.51548,0.26323,1.59832,1.72742,1.45863,0.0015941,0.0015941,0.0015941
43,1904.24,1.46322,1.00027,1.31532,0.83395,0.81997,0.8758,0.46222,1.63239,0.99218,1.43766,0.0015842,0.0015842,0.0015842
44,1943.56,1.47707,0.95481,1.31914,0.72101,0.77354,0.7745,0.37613,1.77641,1.22638,1.52508,0.0015743,0.0015743,0.0015743
45,1982.56,1.51133,0.99059,1.32688,0.74596,0.79592,0.82297,0.42029,1.748,1.01521,1.54988,0.0015644,0.0015644,0.0015644
46,2022,1.46469,0.98975,1.32513,0.80599,0.7619,0.79849,0.38868,1.74202,1.15621,1.49815,0.0015545,0.0015545,0.0015545
47,2060.94,1.39658,0.95921,1.26005,0.86275,0.76969,0.86185,0.47023,1.61063,1.0299,1.4401,0.0015446,0.0015446,0.0015446
48,2100.03,1.39572,0.87758,1.25721,0.75182,0.78912,0.8633,0.46328,1.60554,1.00676,1.43124,0.0015347,0.0015347,0.0015347
49,2139.12,1.42096,0.90346,1.26031,0.85887,0.76871,0.88788,0.45024,1.62707,1.00893,1.45358,0.0015248,0.0015248,0.0015248
50,2178.24,1.37317,0.88606,1.27121,0.86534,0.91156,0.92211,0.5034,1.49712,0.90955,1.36394,0.0015149,0.0015149,0.0015149
51,2217.7,1.42865,0.90204,1.29437,0.87849,0.84354,0.90374,0.49628,1.62326,0.92812,1.43386,0.001505,0.001505,0.001505
52,2256.93,1.46203,0.95242,1.31075,0.79488,0.65904,0.75715,0.37203,1.69944,1.17619,1.46985,0.0014951,0.0014951,0.0014951
53,2296.55,1.36142,0.92494,1.28011,0.81667,0.83673,0.89489,0.4731,1.63847,0.98563,1.43455,0.0014852,0.0014852,0.0014852
54,2335.91,1.42287,0.90388,1.28554,0.84645,0.83673,0.88149,0.48807,1.52289,1.01007,1.37368,0.0014753,0.0014753,0.0014753
55,2374.48,1.38311,0.89716,1.26922,0.82307,0.82993,0.87853,0.47177,1.57268,0.97142,1.4226,0.0014654,0.0014654,0.0014654
56,2413.89,1.36329,0.84147,1.29956,0.85908,0.85714,0.90645,0.49841,1.62548,0.91928,1.44485,0.0014555,0.0014555,0.0014555
57,2454.87,1.3776,0.87286,1.25942,0.84721,0.86759,0.88783,0.47368,1.60885,0.97815,1.41853,0.0014456,0.0014456,0.0014456
58,2499.29,1.37004,0.92155,1.24998,0.84883,0.84036,0.9016,0.50347,1.56087,0.95806,1.3668,0.0014357,0.0014357,0.0014357
59,2541.37,1.37187,0.88635,1.24189,0.77433,0.8403,0.87526,0.46919,1.63057,0.95788,1.44216,0.0014258,0.0014258,0.0014258
60,2584.79,1.41147,0.8833,1.28636,0.68099,0.76871,0.78249,0.39158,1.84505,1.17338,1.55434,0.0014159,0.0014159,0.0014159
61,2626.17,1.41816,0.91406,1.30995,0.81127,0.80272,0.85647,0.45385,1.67213,1.01017,1.45401,0.001406,0.001406,0.001406
62,2667.42,1.38256,0.88907,1.27267,0.79174,0.77586,0.85141,0.46047,1.63246,0.99943,1.43545,0.0013961,0.0013961,0.0013961
63,2708.67,1.42001,0.89252,1.28913,0.82209,0.82993,0.88263,0.4621,1.64519,0.94366,1.45405,0.0013862,0.0013862,0.0013862
64,2752.54,1.42331,0.94093,1.28769,0.81723,0.7415,0.8289,0.44205,1.59488,1.05438,1.39433,0.0013763,0.0013763,0.0013763
